14-02-27-13-59-39 	21.488525390625  		 5740.2001953125  	 0.0  
14-02-27-13-59-45 	21.429168701171875  		 5930.2001953125  	 0.0  
14-02-27-13-59-51 	21.409393310546875  		 5986.60009765625  	 0.0  
14-02-27-13-59-56 	21.429168701171875  		 6106.89990234375  	 0.0  
14-02-27-14-00-02 	21.429168701171875  		 6057.60009765625  	 0.0  
14-02-27-14-00-08 	21.46875  		 5835.80029296875  	 0.0  
14-02-27-14-00-13 	21.409393310546875  		 5703.2001953125  	 0.10000000149011612  
14-02-27-14-00-19 	21.448974609375  		 5642.7001953125  	 0.0  
14-02-27-14-00-25 	21.409393310546875  		 5722.60009765625  	 0.0  
14-02-27-14-00-31 	21.409393310546875  		 5779.60009765625  	 0.0  
